image_path,flower_type,color,Linalool,Geraniol,Citronellol
train/daisy/10140303196_b88d3d6cec.jpg,daisy,yellow,0.424,0.382,0.259
train/daisy/10172379554_b296050f82_n.jpg,daisy,yellow,0.211,0.162,0.322
train/daisy/10172567486_2748826a8b.jpg,daisy,red,0.418,0.53,0.111
train/daisy/10172636503_21bededa75_n.jpg,daisy,pink,0.417,0.562,0.478
train/daisy/10391248763_1d16681106_n.jpg,daisy,white,0.569,0.36,0.186
train/daisy/10437754174_22ec990b77_m.jpg,daisy,white,0.385,0.337,0.535
train/daisy/10437770546_8bb6f7bdd3_m.jpg,daisy,red,0.47,0.288,0.254
train/daisy/10437929963_bc13eebe0c.jpg,daisy,white,0.551,0.232,0.449
train/daisy/10466290366_cc72e33532.jpg,daisy,yellow,0.184,0.549,0.244
train/daisy/10466558316_a7198b87e2.jpg,daisy,red,0.172,0.46,0.527
train/daisy/10555749515_13a12a026e.jpg,daisy,yellow,0.47,0.456,0.586
train/daisy/10555815624_dc211569b0.jpg,daisy,white,0.517,0.598,0.15
train/daisy/10555826524_423eb8bf71_n.jpg,daisy,red,0.262,0.333,0.254
train/daisy/10559679065_50d2b16f6d.jpg,daisy,yellow,0.392,0.432,0.596
train/daisy/10712722853_5632165b04.jpg,daisy,purple,0.235,0.591,0.408
train/daisy/10770585085_4742b9dac3_n.jpg,daisy,red,0.109,0.457,0.128
train/daisy/10841136265_af473efc60.jpg,daisy,yellow,0.216,0.213,0.358
train/daisy/10993710036_2033222c91.jpg,daisy,pink,0.25,0.341,0.266
train/daisy/10993818044_4c19b86c82.jpg,daisy,white,0.502,0.421,0.364
train/daisy/10994032453_ac7f8d9e2e.jpg,daisy,yellow,0.118,0.174,0.146
train/daisy/11023214096_b5b39fab08.jpg,daisy,red,0.334,0.543,0.225
train/daisy/11023272144_fce94401f2_m.jpg,daisy,white,0.244,0.239,0.355
train/daisy/11023277956_8980d53169_m.jpg,daisy,white,0.316,0.112,0.553
train/daisy/11124324295_503f3a0804.jpg,daisy,red,0.377,0.488,0.417
train/daisy/11439894966_dca877f0cd.jpg,daisy,white,0.354,0.581,0.219
train/daisy/11834945233_a53b7a92ac_m.jpg,daisy,red,0.279,0.265,0.22
train/daisy/11870378973_2ec1919f12.jpg,daisy,white,0.148,0.39,0.562
train/daisy/11891885265_ccefec7284_n.jpg,daisy,pink,0.304,0.142,0.433
train/daisy/12193032636_b50ae7db35_n.jpg,daisy,red,0.242,0.587,0.232
train/daisy/12348343085_d4c396e5b5_m.jpg,daisy,purple,0.551,0.449,0.403
train/daisy/12585131704_0f64b17059_m.jpg,daisy,white,0.231,0.223,0.448
train/daisy/12601254324_3cb62c254a_m.jpg,daisy,white,0.549,0.507,0.271
train/daisy/12701063955_4840594ea6_n.jpg,daisy,white,0.447,0.179,0.413
train/daisy/12891819633_e4c82b51e8.jpg,daisy,purple,0.573,0.504,0.257
train/daisy/13491959645_2cd9df44d6_n.jpg,daisy,pink,0.321,0.259,0.445
train/daisy/13583238844_573df2de8e_m.jpg,daisy,pink,0.131,0.454,0.147
train/daisy/13826249325_f61cb15f86_n.jpg,daisy,red,0.261,0.363,0.399
train/daisy/13901930939_a7733c03f0_n.jpg,daisy,yellow,0.343,0.236,0.527
train/daisy/13953307149_f8de6a768c_m.jpg,daisy,yellow,0.115,0.421,0.34
train/daisy/13977181862_f8237b6b52.jpg,daisy,red,0.139,0.447,0.547
train/daisy/14021430525_e06baf93a9.jpg,daisy,purple,0.23,0.259,0.592
train/daisy/14073784469_ffb12f3387_n.jpg,daisy,purple,0.263,0.175,0.113
train/daisy/14087947408_9779257411_n.jpg,daisy,purple,0.256,0.439,0.269
train/daisy/14088053307_1a13a0bf91_n.jpg,daisy,yellow,0.268,0.525,0.414
train/daisy/14114116486_0bb6649bc1_m.jpg,daisy,white,0.272,0.176,0.472
train/daisy/14147016029_8d3cf2414e.jpg,daisy,yellow,0.252,0.446,0.394
train/daisy/14163875973_467224aaf5_m.jpg,daisy,purple,0.345,0.24,0.452
train/daisy/14167534527_781ceb1b7a_n.jpg,daisy,red,0.161,0.415,0.172
train/daisy/14167543177_cd36b54ac6_n.jpg,daisy,yellow,0.154,0.537,0.467
train/daisy/14219214466_3ca6104eae_m.jpg,daisy,purple,0.392,0.58,0.453
train/daisy/14221836990_90374e6b34.jpg,daisy,pink,0.558,0.565,0.513
train/daisy/14221848160_7f0a37c395.jpg,daisy,red,0.166,0.361,0.143
train/daisy/14245834619_153624f836.jpg,daisy,yellow,0.564,0.464,0.459
train/daisy/14264136211_9531fbc144.jpg,daisy,pink,0.17,0.536,0.248
